service,weekday,hour,avg_eta,eta_variability
10,1,18,17.875,13.32500177369247
10,1,21,19.547445255474454,12.48323171440207
10,1,22,20.572413793103447,12.068522433026965
10,2,0,12.520833333333334,8.055629941777692
10,2,6,14.603174603174603,9.604333166118103
10,2,7,16.378666666666668,10.593640173293227
10,2,9,21.0,15.0
10,2,10,19.254691689008045,12.542701717323204
10,2,13,20.9,12.533996779511996
10,2,14,16.525641025641026,11.041533739855646
10,2,16,17.30316742081448,12.229005717184604
10,2,17,13.24102564102564,8.964325572136294
10,2,19,23.456521739130434,12.31026043905224
10,2,20,20.80243161094225,13.201089900347107
10,2,22,16.0,14.77449539868331
10,2,23,15.174311926605505,11.35505249949593
10,3,5,22.386666666666667,12.661725163512713
10,3,6,18.993630573248407,11.58939436443699
10,3,8,13.575757575757576,9.903443161072751
10,3,9,15.634868421052632,10.671894922494095
10,3,11,14.133333333333333,11.45716660726668
10,3,12,19.71645569620253,13.102121639907827
10,3,15,14.49402390438247,10.130101882183927
10,3,16,17.75,9.995240802986059
10,3,18,18.589211618257263,11.160632439929103
10,3,19,16.35185185185185,11.642966166128703
10,4,11,19.19148936170213,12.00839977369526
10,4,12,14.156626506024097,11.66188500560262
10,4,13,8.0,7.302967433402215
100,1,18,20.495238095238093,12.313390858762146
100,1,20,18.365079365079364,11.795709426766004
100,1,21,17.460732984293195,11.468826282667793
100,1,22,21.56923076923077,11.725998399349132
100,1,23,16.4375,12.263597895125777
100,2,0,15.6875,12.434181556006893
100,2,6,13.787234042553191,9.611677866376956
100,2,7,14.56221198156682,9.465681222733595
100,2,9,14.935483870967742,9.20240696906661
100,2,10,13.724409448818898,8.640082313100006
100,2,11,15.666666666666666,9.048020041239225
100,2,12,11.037037037037036,8.711095848582477
100,2,13,16.426751592356688,12.009186559301314
100,2,14,12.69811320754717,11.736933818239269
100,2,15,12.458333333333334,8.1932059163923
100,2,16,10.530864197530864,8.743692612039103
100,2,17,10.068493150684931,6.6242439771983275
100,2,19,12.952380952380953,10.899348033060855
100,2,20,19.5,12.28218680349946
100,2,22,17.634920634920636,10.941636351203904
100,2,23,20.19047619047619,12.44564164112133
100,3,4,41.333333333333336,1.5275252316519468
100,3,5,21.827956989247312,11.840996998191219
100,3,6,16.47887323943662,10.780017177751255
100,3,8,10.495238095238095,7.768431939492989
100,3,9,11.415525114155251,7.901105257317512
100,3,11,16.919354838709676,11.228328324109185
100,3,12,18.50574712643678,12.061579399594903
100,3,14,9.984126984126984,6.1394863279196015
100,3,15,9.726775956284152,7.858060465134158
100,3,16,10.423076923076923,7.524020807446582
100,3,17,9.125,7.680084351891842
100,3,18,13.294871794871796,8.755619724362804
100,3,19,17.770833333333332,10.903722819691966
100,3,23,15.666666666666666,12.87939392513436
100,4,9,23.071428571428573,12.718637358763566
100,4,10,13.615384615384615,9.705167870820665
100,4,11,15.3,8.52507613320392
100,4,12,14.32258064516129,9.854306196183668
100,4,13,12.866666666666667,9.753143571372746
100,4,21,14.166666666666666,9.346752838172526
100A,2,6,13.91304347826087,9.643240889952926
100A,2,9,3.0,2.6457513110645907
100A,2,16,38.666666666666664,5.859465277082315
100A,2,19,12.76923076923077,10.072964577750453
100A,3,8,12.11111111111111,6.629382923675321
100A,3,17,16.916666666666668,11.896969311042152
100A,3,18,19.458333333333332,15.398981238653608
100A,4,9,0.5,0.7071067811865476
101,1,20,15.942148760330578,11.344086213134108
101,1,23,13.11111111111111,8.581983276248431
101,2,0,13.592592592592593,8.932478591587769
101,2,6,17.103703703703705,11.153122897167165
101,2,9,10.792592592592593,7.434385917785784
101,2,12,18.1953125,11.397650395903714
101,2,15,11.729166666666666,7.662396667821071
101,2,16,11.218390804597702,7.208562878669258
101,2,19,11.651851851851852,8.136263507193295
101,2,22,15.8,10.189839832936311
101,3,4,33.34782608695652,6.707267671229959
101,3,5,27.76923076923077,7.33886737575863
101,3,8,11.08148148148148,7.405173516114188
101,3,11,17.340740740740742,10.058161431768081
101,3,14,13.390625,8.618086068281922
101,3,17,12.047619047619047,8.075819739745585
101,3,18,8.666666666666666,7.368775378223483
101,3,23,8.8,10.545141061171254
101,4,0,13.245283018867925,10.072631732298854
101,4,9,10.704761904761904,7.290567944432105
101,4,10,9.9,7.4340781029916085
102,1,20,19.219354838709677,12.122893962359914
102,1,23,14.666666666666666,9.801051273236256
102,2,0,16.48,12.819284459518562
102,2,6,13.242937853107344,8.648618410525959
102,2,9,17.113636363636363,10.473838775792698
102,2,12,14.148148148148149,9.155509916075774
102,2,13,15.82,10.379425958186538
102,2,16,15.497076023391813,10.503430402663612
102,2,19,14.435028248587571,9.701072698669941
102,2,22,18.75862068965517,12.115976666041211
102,3,4,38.57142857142857,3.5050983275386565
102,3,5,36.46153846153846,5.390590091860216
102,3,8,15.03954802259887,10.415439578468952
102,3,11,16.231638418079097,10.141471681591174
102,3,14,17.777142857142856,10.907739678469946
102,3,17,26.703703703703702,8.887393036529607
102,3,18,15.42,10.899953820479729
102,4,0,19.166666666666668,13.47612928871123
102,4,9,15.0,10.59753236879663
102,4,10,17.595890410958905,11.954268472764944
102A,2,19,5.0,4.9749371855331
102A,3,18,16.4,10.743402145278395
102B,2,6,27.933333333333334,9.353888928955598
102B,3,8,10.615384615384615,5.781269490611636
103,1,20,16.283898305084747,11.426356023360764
103,1,23,12.621621621621621,7.968179961063372
103,2,0,8.96923076923077,7.215368213857036
103,2,6,14.477732793522268,11.168267243080425
103,2,9,15.068273092369479,10.273642944178796
103,2,12,19.65289256198347,11.991462757452108
103,2,13,17.91869918699187,11.270586625556794
103,2,15,19.761363636363637,12.195716525378826
103,2,16,16.456692913385826,11.285442164549593
103,2,19,16.388349514563107,11.87556048255427
103,2,22,20.08433734939759,12.758493204664822
103,3,5,31.321428571428573,8.286774699521818
103,3,7,14.444444444444445,9.684567603832534
103,3,8,13.17032967032967,10.397545338299212
103,3,11,19.90495867768595,11.708920252686093
103,3,14,17.591133004926107,12.142117199899014
103,3,17,12.951219512195122,8.34683964786416
103,3,18,15.073394495412844,9.641448352486938
103,3,23,15.952380952380953,12.476225939962541
103,4,0,16.75,12.048513047951879
103,4,9,15.305555555555555,10.939475233303575
103,4,10,11.35483870967742,9.351245685746807
104,1,20,20.860576923076923,13.251370675757457
104,1,23,17.96969696969697,11.287395759443497
104,2,0,11.11111111111111,9.50033737592567
104,2,6,14.930735930735931,9.831380940395997
104,2,9,18.285714285714285,12.348057910517374
104,2,12,19.351724137931033,11.834231793639754
104,2,13,22.79032258064516,12.30505306944171
104,2,15,18.03921568627451,10.870070440091409
104,2,16,19.22222222222222,11.851292532839818
104,2,19,15.641921397379912,10.52704069364816
104,2,22,20.46818181818182,12.855497779671477
104,3,4,41.6,1.1401754250991378
104,3,5,34.0,7.672856526270202
104,3,8,13.987012987012987,9.31034045026446
104,3,11,18.303571428571427,11.7089818620577
104,3,14,20.72398190045249,12.427272591860136
104,3,17,13.333333333333334,8.303912027168577
104,3,18,15.331125827814569,10.402385530447418
104,3,23,16.0,13.238202294873727
104,4,0,10.842105263157896,10.340122274662459
104,4,9,17.51388888888889,11.436281597451718
104,4,10,19.110294117647058,12.151922752368069
105,1,18,19.7012987012987,11.621554163629243
105,1,19,17.763440860215052,10.52367708247162
105,1,20,13.885057471264368,9.994679151121757
105,1,21,15.794117647058824,9.910828396797845
105,1,22,14.714285714285714,9.380101351790554
105,1,23,12.96078431372549,9.090568264555797
105,2,0,12.095238095238095,7.892431576547001
105,2,5,22.714285714285715,10.700838121751795
105,2,6,14.694444444444445,10.40829187150993
105,2,7,15.470588235294118,10.862210461000615
105,2,8,14.204301075268818,10.076402847402987
105,2,9,11.160919540229886,8.598098171565008
105,2,10,14.323529411764707,9.883641615231419
105,2,11,15.768707482993197,10.764011593185472
105,2,12,15.597701149425287,10.227027313794151
105,2,13,15.566666666666666,11.038126194470575
105,2,14,16.26839826839827,10.632877500706968
105,2,15,10.473684210526315,7.6537814081359645
105,2,16,29.25925925925926,7.7637847263015525
105,2,17,15.78494623655914,11.205548299828818
105,2,18,15.824561403508772,10.622438776389496
105,2,19,14.323529411764707,10.3242010131397
105,2,20,19.32051282051282,11.878409353426767
105,2,21,16.381944444444443,11.408496727934738
105,2,22,15.11111111111111,10.081886948604634
105,2,23,12.915254237288135,9.30175635578208
105,3,0,16.425531914893618,10.446020005248233
105,3,5,40.75,1.258305739211793
105,3,6,23.15135135135135,11.427408451822938
105,3,7,17.3855421686747,11.059518938619705
105,3,8,19.31578947368421,14.368378210419602
105,3,9,15.875862068965517,12.076654912256613
105,3,10,17.51145038167939,11.238235840348267
105,3,11,22.28,14.360013927569849
105,3,12,17.922535211267604,11.958601132442316
105,3,13,16.576470588235296,11.54636251790831
105,3,14,16.083333333333332,10.509217952437329
105,3,15,14.509803921568627,10.501056144940488
105,3,16,12.802721088435375,9.378377532798671
105,3,17,19.686274509803923,10.169543148201754
105,3,18,12.86111111111111,10.014711400956317
105,3,19,15.532051282051283,9.840941386777912
105,3,20,18.0,11.743638425899398
105,3,22,14.352941176470589,9.614205176532826
105,4,0,14.0,1.5491933384829668
105,4,5,10.5,8.240697234402615
105,4,6,17.741935483870968,10.497361860417898
105,4,8,15.078947368421053,12.69897118400897
105,4,10,20.970588235294116,12.342302948304916
105,4,13,16.066666666666666,9.108288507740072
105,4,21,15.783333333333333,10.784627582369058
105B,2,7,4.0,
105B,3,6,20.74074074074074,11.791759158225036
106,1,18,20.25668449197861,11.82572354384303
106,1,19,15.313725490196079,11.420140447609969
106,1,21,20.226666666666667,12.820467416887421
106,1,22,15.99047619047619,9.602178476878647
106,2,7,17.614035087719298,10.763381199036285
106,2,8,11.549019607843137,7.87734403334067
106,2,10,17.112994350282484,10.802393493456336
106,2,11,13.971428571428572,9.704734315367327
106,2,13,19.516393442622952,12.48684173990013
106,2,14,16.44927536231884,9.714217486183722
106,2,15,12.333333333333334,8.805466023105078
106,2,17,16.815261044176708,10.998442339865921
106,2,18,12.303030303030303,12.302146277390097
106,2,20,18.394618834080717,12.247315120848873
106,2,21,20.0625,12.412084451272957
106,2,23,14.934579439252337,10.592157144880233
106,3,0,11.307692307692308,9.629681678579475
106,3,5,22.326923076923077,12.31406203006308
106,3,6,15.96774193548387,9.531117302590784
106,3,7,13.484848484848484,8.51146730931722
106,3,9,14.217948717948717,9.200644830775717
106,3,10,12.372549019607844,8.42368276780109
106,3,12,18.986725663716815,11.397652814308577
106,3,13,15.666666666666666,9.426911830852491
106,3,15,14.807692307692308,10.022700541113984
106,3,16,15.752380952380953,10.58098889552985
106,3,18,16.140625,9.154523883833747
106,3,19,21.834437086092716,12.823119986220808
106,3,20,22.38888888888889,10.065309608568425
106,3,21,20.060606060606062,11.704538099438702
106,4,5,19.6,15.820872289478858
