weekday,hour,avg_eta,eta_variability
1,18,19.392126257370794,12.448456927555931
1,19,17.82001136086992,12.147355775189888
1,20,18.19707670576675,12.081100523419686
1,21,18.39889310238803,11.962125731282816
1,22,18.483567727609177,12.202464082878782
1,23,16.73877133642728,11.628950669596957
2,0,14.552186332674138,11.24298419328905
2,1,6.410714285714286,6.074617191722785
2,4,28.344827586206897,12.269102416144175
2,5,20.995706618962434,12.48221944108367
2,6,14.832446943220383,10.806570880324546
2,7,15.687315486614962,11.044448179617955
2,8,13.920559741657696,10.59190220853411
2,9,14.904956298738682,10.87302263400319
2,10,17.012947448591014,11.647740000213835
2,11,17.51584066366302,11.836674740983247
2,12,16.850853601496727,11.680000551496942
2,13,18.237897008942337,11.989338805318841
2,14,17.78358741485566,11.841477179128903
2,15,16.062291567413055,11.464660475573213
2,16,15.515835377487054,11.121037615245713
2,17,15.575890764181903,11.058649043076539
2,18,14.988457802411292,11.045970612402625
2,19,15.690578324461212,11.511579442389838
2,20,18.901601433774644,12.329949993353214
2,21,17.965439349446577,12.139863689978151
2,22,17.70180344709508,11.853179122796929
2,23,17.484068233022207,11.887470228289008
3,0,14.288419059640265,10.684058752192119
3,1,9.676549865229111,8.62886200004091
3,4,35.07802340702211,7.804021949481765
3,5,23.72358958776461,12.2050147947926
3,6,16.661125730055836,11.394925857255176
3,7,14.504130410838197,10.948917298546903
3,8,14.633909448622802,10.762023108370721
3,9,15.552174406721926,11.1911323786994
3,10,16.080765075935695,11.37493148632273
3,11,16.71883711668658,11.557997497744458
3,12,18.66549100619741,12.174414804557337
3,13,17.482380520266183,11.892666691544234
3,14,16.254761904761907,11.390551497864696
3,15,16.659296724470135,11.501351782043063
3,16,15.571352218065206,11.098247435229075
3,17,14.598770351816007,10.9455608452416
3,18,15.468503725942208,11.106421688388084
3,19,16.266471674876847,11.647021253384496
3,20,18.54565652077316,12.168829648691975
3,21,17.543233082706767,12.016298829579558
3,22,17.086860137041516,11.810124861332392
3,23,15.467072620658547,11.588065422264506
4,0,14.13238512035011,10.975914388408482
4,1,5.813559322033898,7.679966272086469
4,4,31.876543209876544,9.873427363445513
4,5,25.70429654591407,12.780518746634103
4,6,14.847243374961925,11.00209621448261
4,7,12.687650273224044,10.477208406159688
4,8,14.60730729244022,11.059403962032798
4,9,14.793379842659938,10.869709819444804
4,10,16.009371339320577,11.324866320769805
4,11,16.997724687144483,11.77506896474881
4,12,17.790784095131922,12.177254509577574
4,13,18.114193992203624,12.056681228507484
4,21,18.808022922636102,11.97543932622536
5,5,26.0,
