service,avg_eta_drift,drift_variability,avg_volatility
113A,4.009708737864078,16.832796620621227,14.941747572815533
856B,3.195876288659794,16.882337401888485,15.010309278350515
189A,2.913793103448276,18.111045851942944,16.396551724137932
268C,2.9,25.15517359551887,21.166666666666668
198A,2.6923076923076925,14.190581247920964,12.692307692307692
451,2.6493506493506493,7.7963659445421545,5.766233766233766
190A,2.6166666666666667,10.418516219980113,8.783333333333333
44,2.588235294117647,19.85222091810545,18.147058823529413
382A,2.5,0.5477225575051661,2.5
951E,2.4864864864864864,11.004094242148696,10.27027027027027
80A,2.4423076923076925,17.51837390620539,14.878205128205128
27A,2.364485981308411,7.67056678352141,6.906542056074766
241A,2.3442622950819674,12.751320514495273,10.311475409836065
453,2.172727272727273,8.85132975124667,7.736363636363636
665,2.1707317073170733,14.010536105061059,12.560975609756097
177,2.165079365079365,17.208483305764158,15.644444444444444
147A,2.139393939393939,20.868898836662208,19.278787878787877
861B,2.066666666666667,16.147879829516498,14.666666666666666
248,2.0401146131805157,21.241593225213744,19.29512893982808
98A,2.0208333333333335,7.490389824055359,5.9375
100A,2.0185185185185186,15.233375483648462,12.722222222222221
672,2.0,,2.0
240A,1.96,7.897678983937833,7.16
268A,1.9591836734693877,19.04376449094019,16.20408163265306
117M,1.9341383095499451,15.428176318150062,13.326015367727772
107M,1.9110169491525424,19.761006377745115,17.923728813559322
17A,1.864864864864865,19.662833646934693,16.56756756756757
807A,1.8101265822784811,17.157696896853153,12.79746835443038
195A,1.7941176470588236,20.455379226813537,16.61764705882353
68A,1.7894736842105263,18.00178678591045,15.473684210526315
182,1.7709923664122138,15.660491425869218,13.44165757906216
70M,1.7679425837320575,18.632049551579335,16.60287081339713
979X,1.717741935483871,13.779070073682872,12.137096774193548
55B,1.64,20.61932750277435,17.0
31A,1.6153846153846154,16.879807007646285,14.2
16M,1.5805243445692885,21.97037442334847,20.43445692883895
118A,1.4838709677419355,12.063791407082787,10.150537634408602
981,1.4566929133858268,13.118346026031057,11.4251968503937
298X,1.4102564102564104,14.385050565163052,12.777777777777779
2B,1.4,21.883423190312705,19.1
72A,1.3428571428571427,17.46920459676678,15.628571428571428
160A,1.3092105263157894,16.252247344397162,14.269736842105264
960e,1.2608695652173914,22.760157567500983,20.089855072463767
115,1.2391304347826086,21.772895359414555,20.695652173913043
118B,1.2376237623762376,18.882875053789604,15.871287128712872
12e,1.2183098591549295,20.685470728372355,18.420187793427232
98M,1.2164383561643837,20.185620203933713,18.66849315068493
138M,1.1875,23.423625325816996,21.1875
91,1.1662870159453302,19.644957121151037,18.136674259681094
248M,1.121686746987952,19.960356053888788,18.097590361445782
191,1.096774193548387,22.15481615170023,20.63594470046083
34A,1.0930232558139534,19.05016776642307,16.441860465116278
94,1.0863095238095237,17.25658879967077,14.833333333333334
6,1.074964639321075,16.660202910273807,14.056577086280056
400,1.0629213483146067,22.452263585107655,20.635955056179775
182M,1.032258064516129,16.188755223147226,13.123470522803114
98B,1.0,15.60384567983162,12.168316831683168
403,0.9921996879875195,19.697039791807864,18.024960998439937
