id,timestamp,bus_stop,service,estimated,eta_seconds,hour,minute,weekday,eta_minutes,prev_eta_minutes,eta_change_minutes
19590,2025-11-16T19:39:40.876Z,1121,197,2025-11-16T11:55:41.000Z,960.123839,19,39,1,16.002063983333333,4.0477777,11.954286283333332
38972,2025-11-16T20:42:40.045Z,1121,197,2025-11-16T12:46:40.000Z,239.954278,20,42,1,3.9992379666666666,16.002063983333333,-12.002826016666667
93,2025-11-16T17:38:08.133Z,1121,32,2025-11-16T09:40:38.000Z,149.866662,17,38,1,2.4977777,,
19592,2025-11-16T19:39:40.876Z,1121,32,2025-11-16T11:49:22.000Z,581.123839,19,39,1,9.685397316666666,2.4977777,7.187619616666666
38974,2025-11-16T20:42:40.045Z,1121,32,2025-11-16T12:54:31.000Z,710.954278,20,42,1,11.849237966666667,9.685397316666666,2.163840650000001
105,2025-11-16T17:38:08.133Z,1139,175,2025-11-16T09:43:33.000Z,324.866662,17,38,1,5.414444366666667,,
19604,2025-11-16T19:39:40.876Z,1139,175,2025-11-16T12:00:21.000Z,1240.123839,19,39,1,20.66873065,5.414444366666667,15.254286283333332
38986,2025-11-16T20:42:40.045Z,1139,175,2025-11-16T12:58:13.000Z,932.954278,20,42,1,15.549237966666668,20.66873065,-5.119492683333332
111,2025-11-16T17:38:08.133Z,1139,7,2025-11-16T09:39:34.000Z,85.866662,17,38,1,1.4311110333333334,,
19610,2025-11-16T19:39:40.876Z,1139,7,2025-11-16T12:07:25.000Z,1664.123839,19,39,1,27.735397316666667,1.4311110333333334,26.304286283333333
38992,2025-11-16T20:42:40.045Z,1139,7,2025-11-16T12:45:52.000Z,191.954278,20,42,1,3.1992379666666664,27.735397316666667,-24.536159350000002
113,2025-11-16T17:38:08.133Z,1139,851,2025-11-16T09:40:00.000Z,111.866662,17,38,1,1.8644443666666668,,
19612,2025-11-16T19:39:40.876Z,1139,851,2025-11-16T11:40:41.000Z,60.123839,19,39,1,1.0020639833333334,1.8644443666666668,-0.8623803833333334
38994,2025-11-16T20:42:40.045Z,1139,851,2025-11-16T12:55:51.000Z,790.954278,20,42,1,13.182571300000001,1.0020639833333334,12.180507316666668
115,2025-11-16T17:38:08.133Z,1211,107M,2025-11-16T09:40:46.000Z,157.866662,17,38,1,2.631111033333333,,
19613,2025-11-16T19:39:40.876Z,1211,107M,2025-11-16T11:51:40.000Z,719.123839,19,39,1,11.985397316666667,2.631111033333333,9.354286283333334
38996,2025-11-16T20:42:40.045Z,1211,107M,2025-11-16T12:49:53.000Z,432.954278,20,42,1,7.215904633333333,11.985397316666667,-4.7694926833333335
127,2025-11-16T17:38:08.133Z,1211,7,2025-11-16T09:45:05.000Z,416.866662,17,38,1,6.9477777000000005,,
19625,2025-11-16T19:39:40.876Z,1211,7,2025-11-16T11:43:04.000Z,203.123839,19,39,1,3.385397316666667,6.9477777000000005,-3.5623803833333336
39008,2025-11-16T20:42:40.045Z,1211,7,2025-11-16T13:03:34.000Z,1253.954278,20,42,1,20.899237966666664,3.385397316666667,17.51384065
134,2025-11-16T17:38:08.133Z,1229,145,2025-11-16T09:51:42.000Z,813.866662,17,38,1,13.564444366666667,,
19632,2025-11-16T19:39:40.876Z,1229,145,2025-11-16T11:39:19.000Z,-21.876161,19,39,1,-0.36460268333333334,13.564444366666667,-13.92904705
39015,2025-11-16T20:42:40.045Z,1229,145,2025-11-16T12:51:30.000Z,529.954278,20,42,1,8.832571300000001,-0.36460268333333334,9.197173983333334
150,2025-11-16T17:38:08.133Z,1311,145,2025-11-16T09:38:50.000Z,41.866662,17,38,1,0.6977777,,
19648,2025-11-16T19:39:40.876Z,1311,145,2025-11-16T11:45:44.000Z,363.123839,19,39,1,6.0520639833333325,0.6977777,5.354286283333333
39032,2025-11-16T20:42:40.045Z,1311,145,2025-11-16T12:55:35.000Z,774.954278,20,42,1,12.915904633333334,6.0520639833333325,6.863840650000001
151,2025-11-16T17:38:08.133Z,1311,175,2025-11-16T09:40:22.000Z,133.866662,17,38,1,2.2311110333333333,,
19649,2025-11-16T19:39:40.876Z,1311,175,2025-11-16T11:54:41.000Z,900.123839,19,39,1,15.002063983333333,2.2311110333333333,12.77095295
39033,2025-11-16T20:42:40.045Z,1311,175,2025-11-16T12:49:16.000Z,395.954278,20,42,1,6.599237966666666,15.002063983333333,-8.402826016666666
162,2025-11-16T17:38:08.133Z,1319,12,2025-11-16T09:41:16.000Z,187.866662,17,38,1,3.131111033333333,,
19660,2025-11-16T19:39:40.876Z,1319,12,2025-11-16T11:45:44.000Z,363.123839,19,39,1,6.0520639833333325,3.131111033333333,2.9209529499999993
39044,2025-11-16T20:42:40.045Z,1319,12,2025-11-16T12:52:41.000Z,600.954278,20,42,1,10.015904633333333,6.0520639833333325,3.9638406500000007
164,2025-11-16T17:38:08.133Z,1319,2,2025-11-16T09:47:48.000Z,579.866662,17,38,1,9.664444366666666,,
19662,2025-11-16T19:39:40.876Z,1319,2,2025-11-16T11:45:19.000Z,338.123839,19,39,1,5.635397316666666,9.664444366666666,-4.02904705
39046,2025-11-16T20:42:40.045Z,1319,2,2025-11-16T12:51:00.000Z,499.954278,20,42,1,8.3325713,5.635397316666666,2.6971739833333332
166,2025-11-16T17:38:08.133Z,1329,145,2025-11-16T09:49:30.000Z,681.866662,17,38,1,11.364444366666667,,
19664,2025-11-16T19:39:40.876Z,1329,145,2025-11-16T11:49:09.000Z,568.123839,19,39,1,9.46873065,11.364444366666667,-1.895713716666668
